what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444384350939
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444384352593
opened,view,com.android.ide.eclipse.ddms,23.0.4.1468518,"com.android.ide.eclipse.ddms.views.DeviceView",1444384352625
activated,view,com.android.ide.eclipse.ddms,23.0.4.1468518,"com.android.ide.eclipse.ddms.views.DeviceView",1444384352635
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.views.showView",1444384352636
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.views.showView",1444384352636
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444384355553
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444384356518
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444384358596
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444384372359
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444384374475
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444384485707
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1444384487166
opened,editor,com.android.ide.eclipse.adt,23.0.4.1468518,"com.android.ide.eclipse.editors.CommonXmlEditor",1444384498606
activated,editor,com.android.ide.eclipse.adt,23.0.4.1468518,"com.android.ide.eclipse.editors.CommonXmlEditor",1444384498643
started,bundle,org.eclipse.mylyn.java.tasks,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.tasks",1444384501146
started,bundle,org.tigris.subversion.clientadapter.javahl,1.7.5.1,"org.tigris.subversion.clientadapter.javahl",1444384501474
started,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1444384509291
opened,editor,com.android.ide.eclipse.adt,23.0.4.1468518,"com.android.ide.eclipse.editors.CommonXmlEditor",1444384509621
activated,editor,com.android.ide.eclipse.adt,23.0.4.1468518,"com.android.ide.eclipse.editors.CommonXmlEditor",1444384509644
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444384523538
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444384525669
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444384526865
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444384686301
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444384686402
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444384687816
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444384689418
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444384690027
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444384690110
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444384691226
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444384691738
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444384695138
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444384699546
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444384702227
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444384702372
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444384835241
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444384843384
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444384925257
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444384925428
activated,editor,com.android.ide.eclipse.adt,23.0.4.1468518,"com.android.ide.eclipse.editors.CommonXmlEditor",1444384942987
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1444384950031
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1444384951336
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1444384954744
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1444384956308
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1444384957346
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444384966340
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444384967121
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444384967148
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444384968160
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1444384968632
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1444436284603
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1444436284604
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1444436284607
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1444436284608
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1444436284609
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1444436284610
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1444436284612
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1444436284613
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1444436284614
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1444436284615
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1444436284617
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1444436284618
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1444436284620
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1444436284621
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1444436284622
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1444436284623
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1444436284624
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1444436284625
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1444436284626
started,bundle,org.eclipse.egit.core,1.1.0.201109151100-r,"org.eclipse.egit.core",1444436284627
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1444436284627
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1444436284628
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1444436284628
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1444436284629
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1444436284629
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1444436284630
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1444436284631
started,bundle,org.eclipse.equinox.p2.core,2.1.0.v20110502-1955,"org.eclipse.equinox.p2.core",1444436284632
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.directorywatcher",1444436284632
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.v20110511,"org.eclipse.equinox.p2.engine",1444436284633
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110510,"org.eclipse.equinox.p2.metadata",1444436284634
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1444436284634
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1444436284635
started,bundle,org.eclipse.equinox.p2.publisher,1.2.0.v20110511,"org.eclipse.equinox.p2.publisher",1444436284635
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1444436284636
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1444436284636
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1444436284637
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1444436284638
started,bundle,org.eclipse.equinox.preferences,3.4.1.R37x_v20110725,"org.eclipse.equinox.preferences",1444436284638
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1444436284639
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1444436284681
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1444436284682
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1444436284683
started,bundle,org.eclipse.jdt.core,3.7.1.v_B76_R37x,"org.eclipse.jdt.core",1444436284684
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1444436284685
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1444436284685
started,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1444436284688
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1444436284689
started,bundle,org.eclipse.jgit,1.1.0.201109151100-r,"org.eclipse.jgit",1444436284877
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1444436284878
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1444436284879
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1444436284880
