what,kind,bundleId,bundleVersion,description,time
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1445587081039
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445587081488
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445587084488
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445587100015
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445587101408
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445587104686
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445587109130
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445587110415
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445587126064
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445587133388
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1445587138128
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445587141377
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1445587142540
executed,command,,,"com.android.ide.eclipse.adt.junit.launchShortcut.run",1445587146001
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445587149680
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445587176658
activated,view,com.android.ide.eclipse.ddms,23.0.4.1468518,"com.android.ide.eclipse.ddms.views.FileExplorerView",1445587178726
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1445587183664
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445587184464
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445587196212
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1445587197752
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1445587198163
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445587198600
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445587202002
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1445587212255
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445587212832
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445587217250
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1445587222126
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1445587222510
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1445587222877
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445587223521
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445587228368
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445587240816
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445587244968
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445587245135
