what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448014758362
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448014760555
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448014774950
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448014776466
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448014778475
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448014779827
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448014781985
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448014783659
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448014788736
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448014794283
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448014795868
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1448014796976
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1448014796987
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1448014802181
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1448014823501
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1448014824497
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1448014825240
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1448014827044
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1448014843977
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1448014867385
